N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
98,CJ,"108,700","4,700",-4.14%,"5,000","31,715","29,177",19.11,"94,919",19.18,3.94,
99,BGF리테일,"183,100",100,+0.05%,"1,000","31,647","17,284",34.16,"30,180",16.35,21.85,
100,삼성증권,"34,900",0,0.00%,"5,000","31,166","89,300",28.81,"258,302",7.38,6.88,
101,호텔신라,"78,700","6,800",-7.95%,"5,000","30,888","39,248",20.28,"991,666",-62.76,-8.99,
102,NH투자증권,"9,310",110,-1.17%,"5,000","30,878","331,666",12.36,"389,289",10.56,4.32,
103,아모레G,"37,350","4,350",-10.43%,500,"30,798","82,458",10.09,"858,423",57.64,1.87,
104,한전기술,"80,000","2,100",+2.70%,200,"30,576","38,220",3.59,"423,292",170.21,3.40,
105,한미사이언스,"43,500",50,+0.12%,500,"30,431","69,957",0.81,"169,267",43.98,9.78,
106,쌍용C&E,"6,030",10,-0.17%,100,"30,383","503,860",2.75,"370,738",23.74,7.87,
107,롯데지주,"28,850",50,+0.17%,200,"30,266","104,909",8.65,"136,228",17.87,2.42,
108,LG화학우,"393,500","19,500",-4.72%,"5,000","30,255","7,689",65.10,"128,563",16.69,N/A,
109,대우조선해양,"28,100","1,700",-5.70%,"5,000","30,149","107,291",3.84,"814,829",-1.73,-117.79,
110,LS,"92,700","2,700",-2.83%,"5,000","29,849","32,200",13.71,"363,173",6.61,12.00,
111,롯데에너지머티리얼즈,"64,100","1,100",-1.69%,500,"29,557","46,111",7.99,"302,931",67.47,3.58,
112,현대미포조선,"73,700",800,-1.07%,"5,000","29,437","39,942",20.49,"211,608",-66.04,-2.07,
113,한진칼,"43,950",100,-0.23%,"2,500","29,342","66,762",16.09,"46,010",4.33,33.64,
114,DB하이텍,"65,300",600,-0.91%,"5,000","28,992","44,399",25.50,"715,615",5.20,40.73,
115,GS리테일,"27,300",550,-1.97%,"1,000","28,588","104,718",9.01,"170,451",70.73,1.00,
116,OCI,"119,200","3,900",+3.38%,"5,000","28,428","23,849",17.74,"455,932",3.23,25.21,
117,TIGER 차이나전기차SOLACTIVE,"11,225",95,-0.84%,0,"28,381","252,840",0.29,"4,490,097",N/A,N/A,
118,이마트,"98,800",400,-0.40%,"5,000","27,541","27,876",31.48,"82,996",2.68,9.59,
119,키움증권,"104,700","1,500",-1.41%,"5,000","27,452","26,220",25.31,"54,648",5.99,11.50,
120,한화시스템,"14,450",600,-3.99%,"5,000","27,299","188,919",4.19,"1,067,174",-35.68,-3.63,
121,한국가스공사,"28,100",250,+0.90%,"5,000","25,940","92,313",8.20,"231,605",1.74,15.67,
122,KODEX 종합채권(AA-이상)액티브,"105,780",260,+0.25%,0,"25,840","24,428",0.03,"6,598",N/A,N/A,
123,동원산업,"50,800",300,-0.59%,"1,000","25,391","49,983",2.73,"21,927",6.42,8.53,
124,한솔케미칼,"224,000","1,000",+0.45%,"5,000","25,391","11,335",40.80,"50,841",16.37,21.36,
125,KODEX 200선물인버스2X,"2,660",25,+0.95%,0,"24,062","904,600",0.58,"103,944,377",N/A,N/A,
126,서울가스,"467,500","5,500",-1.16%,"5,000","23,375","5,000",5.83,"31,823",132.21,1.70,
127,현대차우,"96,500",100,-0.10%,"5,000","23,269","24,113",59.93,"41,186",3.63,N/A,
128,코스모화학,"66,300","2,900",-4.19%,"1,000","23,210","35,008",8.19,"1,138,686",197.91,6.13,
129,농심,"381,000","1,500",-0.39%,"5,000","23,175","6,083",16.42,"8,588",19.96,5.17,
130,롯데쇼핑,"81,700",900,-1.09%,"5,000","23,112","28,289",11.82,"62,004",-7.12,-3.30,
131,에스디바이오센서,"21,650","1,600",-6.88%,500,"22,614","104,452",14.68,"788,595",2.46,35.30,
132,TIGER 미국나스닥100,"77,260",60,+0.08%,0,"22,351","28,930",0.13,"123,867",N/A,N/A,
133,휠라홀딩스,"36,600",350,+0.97%,"1,000","22,235","60,752",45.80,"217,599",6.47,19.71,
134,BNK금융지주,"6,800",20,-0.29%,"5,000","22,164","325,935",35.60,"679,333",2.74,8.43,
135,제일기획,"19,150",250,-1.29%,200,"22,030","115,041",32.79,"494,298",11.37,16.64,
136,HL만도,"46,850",50,-0.11%,"1,000","21,999","46,957",22.94,"310,451",22.38,4.78,
137,에스원,"57,600",600,+1.05%,500,"21,888","37,999",54.43,"71,967",14.49,10.19,
138,두산퓨얼셀,"33,350",250,+0.76%,100,"21,842","65,494",16.25,"606,350",709.57,0.74,
139,한화,"28,600",900,-3.05%,"5,000","21,438","74,959",17.29,"475,401",2.13,24.47,
140,한화생명,"2,465",25,-1.00%,"5,000","21,409","868,530",8.03,"1,198,595",2.92,9.05,
141,KODEX 레버리지,"16,220",155,-0.95%,0,"21,070","129,900",2.37,"15,640,060",N/A,N/A,
142,한미반도체,"21,600",450,+2.13%,100,"21,025","97,339",6.04,"7,812,328",23.13,25.04,
143,TIGER 200,"33,620",160,-0.47%,0,"20,945","62,300",0.95,"1,202,725",N/A,N/A,
144,대성홀딩스,"130,100",300,+0.23%,"1,000","20,932","16,089",6.49,"15,291",578.22,0.76,
145,KODEX 200TR,"11,305",40,-0.35%,0,"20,519","181,500",1.60,"87,471",N/A,N/A,
146,대한전선,"1,628",33,-1.99%,100,"20,260","1,244,473",3.00,"11,603,401",90.44,3.32,
147,신세계,"205,500","8,000",-3.75%,"5,000","20,232","9,845",18.15,"161,685",4.98,10.34,
148,삼천리,"497,500","4,500",-0.90%,"5,000","20,174","4,055",15.27,"21,500",40.95,3.58,
149,영원무역,"44,650","1,100",-2.40%,500,"19,785","44,311",30.39,"59,552",2.93,26.80,
150,동서,"19,380",0,0.00%,500,"19,322","99,700",3.36,"72,460",11.51,11.33,
151,LS ELECTRIC,"63,700","1,200",-1.85%,"5,000","19,110","30,000",13.96,"163,267",21.16,5.95,
152,GS건설,"22,300",550,+2.53%,"5,000","19,085","85,581",24.83,"822,932",5.63,7.18,
153,KCC,"214,000","10,500",-4.68%,"5,000","19,017","8,886",13.27,"58,247",56.15,0.67,
154,TIGER 미국S&P500,"13,770",10,+0.07%,0,"18,603","135,100",0.75,"670,926",N/A,N/A,
155,현대일렉트릭,"51,000","2,650",+5.48%,"5,000","18,384","36,047",17.27,"592,583",11.31,22.13,
156,효성첨단소재,"408,000","4,000",-0.97%,"5,000","18,278","4,480",7.35,"29,116",14.58,19.11,
157,CJ대한통운,"79,400",300,-0.38%,"5,000","18,113","22,812",16.35,"49,314",9.98,5.09,
158,오뚜기,"450,500","2,500",-0.55%,"5,000","18,055","4,008",11.45,"2,254",6.16,16.53,
159,대우건설,"4,280",120,+2.88%,"5,000","17,789","415,623",11.86,"1,414,658",3.53,14.55,
160,LIG넥스원,"80,500",300,+0.37%,"5,000","17,710","22,000",12.86,"374,669",14.41,14.48,
161,HD현대인프라코어,"8,790",10,+0.11%,"1,000","17,545","199,603",16.18,"2,371,359",7.56,15.29,
162,LX세미콘,"107,700","5,300",+5.18%,500,"17,517","16,264",26.74,"813,140",7.50,26.70,
163,JB금융지주,"8,820",90,-1.01%,"5,000","17,374","196,983",33.26,"287,276",2.89,13.76,
164,효성티앤씨,"399,500","9,000",-2.20%,"5,000","17,289","4,328",8.17,"30,330",149.18,0.88,
165,한전KPS,"37,700",200,+0.53%,200,"16,965","45,000",7.71,"212,472",16.94,8.61,
166,KG모빌리티,"8,760",0,0.00%,"5,000","16,377","186,956",24.60,0,-8.18,-12.10,
167,현대위아,"59,800",300,-0.50%,"5,000","16,263","27,195",8.49,"205,075",24.86,1.99,
168,두산,"97,800",300,-0.31%,"5,000","16,160","16,524",8.27,"117,053",-3.01,-36.00,
169,덴티움,"144,500","11,000",-7.07%,500,"15,994","11,069",24.11,"264,196",18.58,25.86,
